ID,Tipo,SKU,Nome,Status,Entrada,Saída,Custo compra,Valor venda,Margem de lucro,Quantidade,Tag,Tamanho,Cor,Categoria,
1,vestido,BS-CA-FU-01-u,vestido alça,EM ESTOQUE,10/05/2025,,,"R$ 89,00",#DIV/0!,1,,u,fucsia,Casual,
2,calça,BS-SO-PR-02-u,calça social ,EM ESTOQUE,,,,"R$ 76,00",#DIV/0!,1,,u,preta,Social,
3,calça,BS-CA-ES-03-40,calça jeans escura,EM ESTOQUE,,,,"R$ 90,00",#DIV/0!,1,,40,escuro,Casual,
4,calça,BS-FI-PR-04-p,calça leggin ,VENDIDO,,,,"R$ 85,00",#DIV/0!,1,,p,preta,Fitness,
5,shorts,BS-FI-PR-05-g1,shorts academia com bolso,EM ESTOQUE,,,,"R$ 65,00",#DIV/0!,1,,g1,preto,Fitness,
6,conjunto,BS-CA-RO-06-g1,conjunto shorts/colete,EM ESTOQUE,,,,"R$ 125,00",#DIV/0!,1,,g1,rosa/bege,Casual,
7,conjunto ,BS-FI-PR-07-p,conjunto academia shorts saia/top,EM ESTOQUE,,,"R$ 20,00","R$ 90,00","350,00%",1,,p,preto/branco,Fitness,
8,tapa bumbum,BS-FI-PR-08-u,tapa bumbum academia,EM ESTOQUE,,,"R$ 12,00","R$ 32,00","166,67%",1,,u,preto,Fitness,
9,vestido,BS-CA-BR-09-u,vestido alça *,VENDIDO,,,,"R$ 89,00",#DIV/0!,1,,u,branco,Casual,
10,shorts,BS-SO-BR-10-gg,short saia social,EM ESTOQUE,,,"R$ 33,00","R$ 60,00","81,82%",1,,gg,branco,Social,
11,calça,BS-SO-PR-11-g,calça social pantalona,EM ESTOQUE,,,"R$ 40,00","R$ 90,00","125,00%",1,,g,preta,Social,
12,vestido,BS-SO-PR-12-p,vestido curto sem manga paete,EM ESTOQUE,,,"R$ 1,00","R$ 70,00","6900,00%",1,,p,preto,Social,
13,vestido,BS-CA-VE-13-u,vestido curto alça/cinto,EM ESTOQUE,,,,"R$ 89,00",#DIV/0!,1,,u,verde escuro,Casual,
14,saia,BS-CA-PR-14-g,saia curta de couro,EM ESTOQUE,,,"R$ 1,00","R$ 85,00","8400,00%",1,,g,preto,Casual,
15,vestido,BS-CA-FL-15-g1,vestido alça unica/ com cinto,EM ESTOQUE,,,,"R$ 99,00",#DIV/0!,1,,g1,florido,Casual,
16,vestido,BS-SO-BR-16-g,vestido alça brilhante *,EM ESTOQUE,,,"R$ 50,00","R$ 105,00","110,00%",1,,g,branco,Social,
17,vestido,BS-SO-PR-17-m,vestido alça brilhante *,EM ESTOQUE,,,"R$ 50,00","R$ 105,00","110,00%",1,,m,preto,Social,
18,vestido,BS-CA-BE-18-m,vestido linho longo amarra no pescoço/ com cinto,EM ESTOQUE,,,"R$ 60,00","R$ 180,00","200,00%",1,,m,bege,Casual,
19,vestido,BS-CA-BR-19-u,vestido alça com cinto,EM ESTOQUE,,,,"R$ 89,00",#DIV/0!,2,,u,branco,Casual,
20,calça,BS-CA-PR-20-gg,calça elastico pantalona com bolso *,VENDIDO,,,"R$ 34,00","R$ 79,99","135,26%",1,,gg,preta,Casual,
21,camisa,BS-SO-PR-21-g,camisa listrada,EM ESTOQUE,,,"R$ 35,00","R$ 85,90","145,43%",1,,g,preta/branca,Social,
22,vestido,BS-CA-BE-22-p,vestido longo elastano,EM ESTOQUE,,,"R$ 60,00","R$ 125,00","108,33%",1,,p,bege,Casual,
23,camisa,BS-CA-AZ-23-m,camisa listrada com top,VENDIDO,,,"R$ 1,00","R$ 90,00","8900,00%",1,,m,azul/branco,Casual,
24,blusa,BS-CA-PR-24-m,blusa c/gola alta listrada sem manga ,EM ESTOQUE,,,"R$ 10,00","R$ 38,90","289,00%",1,,m,preta/branca,Casual,
25,blusa,BS-CA-BR-25-m,blusa lã manga longa/ detalhe preto ,VENDIDO,,,,"R$ 65,00",#DIV/0!,1,,m,branca,Casual,
26,saia,BS-SO-PR-26-gg,saia tule *,EM ESTOQUE,,,"R$ 35,00","R$ 92,80","165,14%",1,,gg,preta,Social,
27,blusa,BS-CA-BE-27-m,blusa c/gola alta sem manga *,EM ESTOQUE,,,"R$ 10,00","R$ 38,90","289,00%",1,,m,bege,Casual,
28,saia,BS-SO-SA-28-gg,saia tule *,EM ESTOQUE,,,"R$ 35,00","R$ 92,90","165,43%",1,,gg,salmão,Social,
29,colete,BS-SO-BR-29-m,colete sem manga,EM ESTOQUE,,,"R$ 46,90","R$ 90,00","91,90%",1,,m,branco,Social,
30,blusa,BS-CA-TE-30-m,blusa c/gola alta *,EM ESTOQUE,,,"R$ 10,00","R$ 38,90","289,00%",2,,m,terracota,Casual,
31,blusa,BS-CA-MA-31-m,blusa c/gola alta listrada sem manga* ,EM ESTOQUE,,,"R$ 10,00","R$ 38,90","289,00%",1,,m,marrom/preto,Casual,
32,calça,BS-CA-CI-32-gg,calça elastico pantalona com bolso *,VENDIDO,,,"R$ 34,00","R$ 79,90","135,00%",1,,gg,cinza,Casual,
33,calça,BS-CA-VE-33-gg,calça elastico pantalona com bolso *,VENDIDO,,,"R$ 34,00","R$ 79,99","135,26%",1,,gg,vermelhs,Casual,
34,blusa,BS-CA-TE-34-m,blusa alça unica *,EM ESTOQUE,,,"R$ 12,00","R$ 36,00","200,00%",1,,m,terracota,Casual,
35,blusa,BS-CA-VI-35-u,blusa manga unica/longa *,EM ESTOQUE,,,"R$ 18,00","R$ 45,90","155,00%",2,,u,vinho,Casual,
36,blazer,BS-SO-CR-36-40,blazer forrado,EM ESTOQUE,,,"R$ 60,00","R$ 135,00","125,00%",1,,40,creme,Social,
37,blusa,BS-CA-RO-37-m,blusa manga longa lã,VENDIDO,,,,"R$ 69,00",#DIV/0!,1,,m,rosa claro,Casual,
38,vestido,BS-CA-MO-38-u,vestido curto *,EM ESTOQUE,,,"R$ 25,00","R$ 79,99","219,96%",1,,u,mostarda,Casual,
39,vestido,BS-CA-LA-39-g,vestido longo sem manga,EM ESTOQUE,,,"R$ 60,00","R$ 127,00","111,67%",1,,g,laranja,Casual,
40,saia,BS-CA-MA-40-g,saia couro abertura na frente,EM ESTOQUE,,,"R$ 40,00","R$ 92,80","132,00%",1,,g,marrom claro,Casual,
41,blazer,BS-SO-VI-41-g1,blazer estampa vichy,EM ESTOQUE,,,"R$ 50,00","R$ 115,50","131,00%",1,,g1,vichy,Social,
42,blusa,BS-CA-BR-42-m,blusa lã manga longa,EM ESTOQUE,,,,"R$ 65,00",#DIV/0!,1,,m,branca,Casual,
43,blusa,BS-CA-VE-43-m,blusa alça unica *,VENDIDO,,,"R$ 12,00","R$ 36,00","200,00%",1,,m,verde,Casual,
44,blusa,BS-CA-BR-44-m,blusa alça unica *,EM ESTOQUE,,,"R$ 12,00","R$ 36,00","200,00%",1,,m,branca,Casual,
45,vestido,BS-CA-VI-45-u,vestido curto s/ maga c/bolso *,EM ESTOQUE,,,"R$ 25,00","R$ 76,90","207,60%",1,,u,vinho,Casual,
46,vestido,BS-CA-MA-46-u,vestido curto s/ maga c/bolso *,EM ESTOQUE,,,"R$ 25,00","R$ 76,90","207,60%",1,,u,marrom,Casual,
47,blusa,BS-CA-BE-47-u,blusa manga unica/longa *,EM ESTOQUE,,,"R$ 18,00","R$ 45,90","155,00%",1,,u,bege,Casual,
48,blusa,BS-CA-MA-48-u,blusa bata c/top *,VENDIDO,,,"R$ 20,00","R$ 75,90","279,50%",1,,u,marrom,Casual,
49,blusa,BS-CA-TE-49-u,blusa bata c/top *,EM ESTOQUE,,,"R$ 20,00","R$ 75,90","279,50%",1,,u,terracota,Casual,
50,vestido,BS-CA-PR-50-u,vestido curto,EM ESTOQUE,,,"R$ 25,00","R$ 79,99","219,96%",1,,u,preto,Casual,
51,camisa,BS-SO-PR-51-gg,camisa listrada,EM ESTOQUE,,,"R$ 35,00","R$ 85,90","145,43%",1,,gg,preta/branca,Social,
52,saia,BS-SO-VE-52-g,saia abertura na frente,EM ESTOQUE,,,"R$ 35,00","R$ 90,00","157,14%",1,,g,verde militar,Social,
53,calça,BS-SO-VE-53-g,calça social c/cinto,EM ESTOQUE,,,"R$ 45,00","R$ 98,00","117,78%",1,,g,verde,Social,
54,calça,BS-SO-SA-54-gg,calça social c/cinto,EM ESTOQUE,,,"R$ 45,00","R$ 98,00","117,78%",1,,gg,salmão,Social,
55,calça,BS-SO-CR-55-g,calça social c/cinto,EM ESTOQUE,,,"R$ 45,00","R$ 98,00","117,78%",1,,g,creme,Social,
56,camisa,BS-SO-AZ-56-m,camisa listrada manga elastico,EM ESTOQUE,,,"R$ 35,00","R$ 76,90","119,71%",1,,m,azul/branco,Social,
57,camisa,BS-SO-AZ-57-g,camisa listrada manga elastico,EM ESTOQUE,,,"R$ 35,00","R$ 76,90","119,71%",1,,g,azul/branco,Social,
58,blusa,BS-SO-BE-58-gg,blusa linho,EM ESTOQUE,,,,"R$ 70,00",#DIV/0!,1,,gg,bege,Social,
59,top,BS-FI-PR-59-m,top,EM ESTOQUE,,,,"R$ 35,00",#DIV/0!,1,,m,preto/rosa,Fitness,
60,blusa,BS-FI-PR-60-g,blusa fitness,EM ESTOQUE,,,,"R$ 35,00",#DIV/0!,1,,g,preta,Fitness,
61,blusa,BS-FI-AZ-61-g,blusa fitness,EM ESTOQUE,,,,"R$ 35,00",#DIV/0!,1,,g,azul/branco,Fitness,
62,blusa,BS-CA-AM-62-g,blusa alça amarela,EM ESTOQUE,,,,"R$ 52,00",#DIV/0!,1,,g,amarela,Casual,
63,cropped,BS-CA-BR-63-p,cropped,EM ESTOQUE,,,,"R$ 45,00",#DIV/0!,1,,p,branco,Casual,
64,blusa,BS-SO-AM-64-p,blusa ,EM ESTOQUE,,,,"R$ 65,00",#DIV/0!,1,,p,amarelo,Social,
65,camiseta,BS-CA-BR-65-m,camiseta,EM ESTOQUE,,,,"R$ 66,00",#DIV/0!,1,,m,branca,Casual,
66,t shirt,BS-CA-BR-66-m,t shirt minnie mouse,EM ESTOQUE,,,,"R$ 60,00",#DIV/0!,1,,m,branca,Casual,
67,t shirt,BS-CA-PR-67-g,t shirt baby look,EM ESTOQUE,,,"R$ 20,00","R$ 35,00","75,00%",1,,g,preta,Casual,
68,t shirt,BS-CA-CR-68-g,t shirt merci baby look,EM ESTOQUE,,,"R$ 20,00","R$ 35,00","75,00%",1,,g,creme,Casual,
69,t shirt,BS-CA-CR-69-m,t shirt laço azul baby look,EM ESTOQUE,,,"R$ 20,00","R$ 35,00","75,00%",1,,m,creme,Casual,
70,t shirt,BS-CA-CR-70-g,t shirt mais cor por favor baby look,EM ESTOQUE,,,"R$ 20,00","R$ 35,00","75,00%",1,,g,creme,Casual,
71,t shirt,BS-CA-PR-71-m,t shirt baby look,EM ESTOQUE,,,"R$ 20,00","R$ 35,00","75,00%",2,,m,preta,Casual,
72,regata,BS-CA-VI-72-u,regata,EM ESTOQUE,,,"R$ 15,00","R$ 35,00","133,33%",1,,u,vinho,Casual,
